year,south,northeast,midwest,west
1968.0,527.6999999999999,198.9,347.5,246.1
1969.0,553.0999999999999,219.79999999999998,344.7,281.4
1970.0,594.8000000000001,185.00000000000003,323.3,315.5
1971.0,727.1,225.7,348.2,405.2
1972.0,848.6000000000001,281.2,411.70000000000005,462.40000000000003
1973.0,906.1999999999998,294.00000000000006,441.7,458.5
1974.0,756.0,231.79999999999998,377.20000000000005,363.3
1975.0,531.3,185.89999999999998,313.2,286.8
1976.0,513.3,170.3,355.50000000000006,338.3
1977.0,636.3000000000001,176.7,400.00000000000006,444.3
1978.0,752.0999999999999,181.9,416.4,517.1999999999999
1979.0,761.8000000000001,188.4,414.6,505.90000000000003
1980.0,696.0000000000001,145.9,273.59999999999997,386.1
1981.0,626.3000000000001,127.3,217.49999999999997,294.3
1982.0,538.7,120.50000000000001,143.0,203.09999999999997
1983.0,745.9,138.7,200.7,304.4
1984.0,866.5999999999999,168.2,221.1,396.3
1985.0,812.4,213.70000000000005,230.3,446.9
1986.0,763.8,254.10000000000002,269.7,468.70000000000005
1987.0,660.4,257.6,302.2,448.6
1988.0,594.7,250.1,280.40000000000003,404.50000000000006
1989.0,549.2999999999998,218.6,267.1,387.6
1990.0,510.6000000000001,157.7,263.4,376.20000000000005
1991.0,438.90000000000003,120.1,240.4,291.40000000000003
1992.0,462.3,136.6,268.5,290.2
1993.0,511.9,117.49999999999999,273.3,289.9
1994.0,580.8,123.3,307.2,335.50000000000006
1995.0,581.1999999999999,126.8,288.00000000000006,316.6
1996.0,637.0,125.10000000000001,304.50000000000006,346.30000000000007
1997.0,634.0,133.9,295.9,336.6
1998.0,671.6,137.2,305.0,360.2
1999.0,732.8,142.70000000000002,334.6,394.79999999999995
2000.0,729.4,145.9,334.6,363.9000000000001
2001.0,726.4,144.7,316.40000000000003,383.2
2002.0,757.8,147.9,329.70000000000005,412.90000000000003
2003.0,755.7,154.6,332.2,436.09999999999997
2004.0,840.3000000000001,155.90000000000003,362.2,483.3
2005.0,903.7000000000002,170.8,352.1,505.0999999999999
2006.0,986.7,179.00000000000003,325.2,488.6
2007.0,766.2,144.8,222.70000000000002,369.29999999999995
2008.0,567.3,109.60000000000002,178.2,264.40000000000003
2009.0,393.6,94.3,119.1,187.50000000000003
2010.0,316.69999999999993,80.4,106.89999999999999,147.70000000000002
2011.0,295.5,72.6,102.79999999999998,114.10000000000001
2012.0,324.59999999999997,74.60000000000001,110.4,139.4
2013.0,389.4,75.3,120.6,179.1
2014.0,238.60000000000002,43.1,75.6,105.50000000000001
